make,basemodel,model,fuel_type
Bentley,Continental,Continental GT Speed,Premium
Bentley,Continental,Continental GT Speed Convertible,Premium
Bentley,Continental,Continental GT V8 Convertible,Premium
Bentley,Continental,Continental GT3-R,Premium
Bentley,Continental,Continental GTC,Premium
Bentley,Continental,Continental GTC,Premium or E85
Bentley,Continental,Continental R,Premium
Bentley,Continental,Continental SC,Premium
Bentley,Continental,Continental T,Premium
Bentley,Continental Flying Spur,Continental Flying Spur,Premium
Bentley,Continental Flying Spur,Continental Flying Spur,Premium or E85
Bentley,Continental GT Convertible,Continental GT Convertible,Premium
Bentley,Continental GT Convertible,Continental GT Convertible,Premium or E85
Bentley,Continental GT Convertible,Continental GT Speed Convertible,Premium or E85
Bentley,Continental Supersports,Continental Supersports,Premium
Bentley,Continental Supersports,Continental Supersports,Premium or E85
Bentley,Continental Supersports Convertible,Continental Supersports Convertible,Premium
Bentley,Continental Supersports Convertible,Continental Supersports Convertible,Premium or E85
Bentley,Flying Spur,Flying Spur,Premium
Bentley,Flying Spur,Flying Spur,Premium or E85
Bentley,Flying Spur,Flying Spur Hybrid,Premium and Electricity
Bentley,Mulsanne,Mulsanne,Premium
Bentley,Mulsanne,Mulsanne EWB,Premium
Bentley,Turbo RT,Turbo RT,Premium
Bertone,X1/9,X1/9,Regular
Bill Dovell Motor Car Company,Dovell 230CE,Dovell 230CE,Regular
Bill Dovell Motor Car Company,Dovell 230E,Dovell 230E,Regular
Bitter Gmbh and Co. Kg,Bitter SC,Bitter SC,Premium
Bitter Gmbh and Co. Kg,Bitter SC,Bitter SC,Regular
Bitter Gmbh and Co. Kg,SC,SC,Regular
BMW,1 Series,128ci Convertible,Premium
BMW,1 Series,128i,Premium
BMW,1 Series,128i Convertible,Premium
BMW,1 Series,135i,Premium
BMW,1 Series,135i Convertible,Premium
BMW,1 Series,M1 Coupe,Premium
BMW,2 Series,228i,Premium
BMW,2 Series,228i Convertible,Premium
BMW,2 Series,228i Gran Coupe,Premium
BMW,2 Series,228i xDrive,Premium
BMW,2 Series,228i xDrive Convertible,Premium
BMW,2 Series,228i xDrive Gran Coupe,Premium
BMW,2 Series,230i Convertible,Premium
BMW,2 Series,230i Coupe,Premium
BMW,2 Series,230i xDrive Convertible,Premium
BMW,2 Series,230i xDrive Coupe,Premium
BMW,2 Series,M235i,Premium
BMW,2 Series,M235i Convertible,Premium
BMW,2 Series,M235i xDrive,Premium
BMW,2 Series,M235i xDrive Convertible,Premium
BMW,2 Series,M235i xDrive Gran Coupe,Premium
BMW,2 Series,M240i Convertible,Premium
BMW,2 Series,M240i Coupe,Premium
BMW,2 Series,M240i xDrive Convertible,Premium
BMW,2 Series,M240i xDrive Coupe,Premium
BMW,3 Series,3 Series,Premium
BMW,3 Series,3 Series,Regular
BMW,3 Series,318i,Premium
BMW,3 Series,318i Convertible,Premium
BMW,3 Series,318i/318is,Premium
BMW,3 Series,318i/318is,Regular
BMW,3 Series,318is,Premium
BMW,3 Series,318is Convertible,Premium
BMW,3 Series,318ti,Premium
BMW,3 Series,318ti,Regular
BMW,3 Series,320i,Premium
BMW,3 Series,320i xDrive,Premium
BMW,3 Series,323ci,Premium
BMW,3 Series,323i,Premium
BMW,3 Series,323i,Regular
BMW,3 Series,323i Convertible,Premium
BMW,3 Series,323i Convertible,Regular
BMW,3 Series,323i Touring,Premium
BMW,3 Series,323is,Regular
BMW,3 Series,325ci,Premium
BMW,3 Series,325ci Convertible,Premium
BMW,3 Series,325i,Premium
BMW,3 Series,325i Convertible,Premium
BMW,3 Series,325i Convertible,Regular
BMW,3 Series,325i Sport Wagon,Premium
BMW,3 Series,325i/325is,Premium
BMW,3 Series,325i/325is,Regular
BMW,3 Series,325ic,Premium
BMW,3 Series,325is,Premium
BMW,3 Series,325ix,Regular
BMW,3 Series,325xi,Premium
BMW,3 Series,325xi Sport Wagon,Premium
BMW,3 Series,328ci,Premium
BMW,3 Series,328ci Convertible,Premium
BMW,3 Series,328ci xDrive,Premium
BMW,3 Series,328cxi,Premium
BMW,3 Series,328d,Diesel
BMW,3 Series,328d xDrive,Diesel
BMW,3 Series,328d xDrive Sports Wagon,Diesel
BMW,3 Series,328i,Premium
BMW,3 Series,328i,Regular
BMW,3 Series,328i Convertible,Premium
BMW,3 Series,328i Convertible,Regular
BMW,3 Series,328i Coupe,Premium
BMW,3 Series,328i Coupe xDrive,Premium
BMW,3 Series,328i Sport Wagon,Premium
BMW,3 Series,328i Sport Wagon xDrive,Premium
BMW,3 Series,328i Sports Wagon,Premium
BMW,3 Series,328i xDrive,Premium
BMW,3 Series,328i xDrive Gran Turismo,Premium
BMW,3 Series,328i xDrive Sport Wagon,Premium
BMW,3 Series,328i xDrive Sports Wagon,Premium
BMW,3 Series,328i/328is,Premium
BMW,3 Series,328i/328is,Regular
BMW,3 Series,328ic,Premium
BMW,3 Series,328is,Regular
BMW,3 Series,328xi,Premium
BMW,3 Series,328xi Sport Wagon,Premium
BMW,3 Series,330ci,Premium
BMW,3 Series,330ci Convertible,Premium
BMW,3 Series,330e,Premium and Electricity
BMW,3 Series,330e Sedan,Premium and Electricity
BMW,3 Series,330e xDrive,Premium and Electricity
BMW,3 Series,330e xDrive Sedan,Premium and Electricity
BMW,3 Series,330i,Premium
BMW,3 Series,330i Sedan,Premium
BMW,3 Series,330i xDrive,Premium
BMW,3 Series,330i xDrive Gran Turismo,Premium
BMW,3 Series,330i xDrive Sedan,Premium
BMW,3 Series,330i xDrive Sports Wagon,Premium
BMW,3 Series,330xi,Premium
BMW,3 Series,335ci,Premium
BMW,3 Series,335ci Convertible,Premium
BMW,3 Series,335ci xDrive,Premium
BMW,3 Series,335cxi,Premium
BMW,3 Series,335d,Diesel
BMW,3 Series,335i,Premium
BMW,3 Series,335i Convertible,Premium
BMW,3 Series,335i Coupe,Premium
BMW,3 Series,335i Coupe xDrive,Premium
BMW,3 Series,335i xDrive,Premium
BMW,3 Series,335i xDrive Gran Turismo,Premium
BMW,3 Series,335is Convertible,Premium
BMW,3 Series,335is Coupe,Premium
BMW,3 Series,335xi,Premium
BMW,3 Series,340i,Premium
BMW,3 Series,340i xDrive,Premium
BMW,3 Series,340i xDrive Gran Turismo,Premium
BMW,3 Series,ActiveHybrid 3,Premium
BMW,3 Series,M340i Sedan,Premium
BMW,3 Series,M340i xDrive Sedan,Premium
BMW,4 Series,428i Convertible,Premium
BMW,4 Series,428i Coupe,Premium
BMW,4 Series,428i Gran Coupe,Premium
BMW,4 Series,428i xDrive Convertible,Premium
BMW,4 Series,428i xDrive Coupe,Premium
BMW,4 Series,428i xDrive Gran Coupe,Premium
BMW,4 Series,430i Convertible,Premium
BMW,4 Series,430i Coupe,Premium
BMW,4 Series,430i Gran Coupe,Premium
BMW,4 Series,430i xDrive Convertible,Premium
BMW,4 Series,430i xDrive Coupe,Premium
BMW,4 Series,430i xDrive Gran Coupe,Premium
BMW,4 Series,435i Convertible,Premium
BMW,4 Series,435i Coupe,Premium
BMW,4 Series,435i Gran Coupe,Premium
BMW,4 Series,435i xDrive Convertible,Premium
BMW,4 Series,435i xDrive Coupe,Premium
BMW,4 Series,435i xDrive Gran Coupe,Premium
BMW,4 Series,440i Convertible,Premium
BMW,4 Series,440i Coupe,Premium
BMW,4 Series,440i Gran Coupe,Premium
BMW,4 Series,440i xDrive Convertible,Premium
BMW,4 Series,440i xDrive Coupe,Premium
BMW,4 Series,440i xDrive Gran Coupe,Premium
BMW,4 Series,M440i Convertible,Premium
BMW,4 Series,M440i Coupe,Premium
BMW,4 Series,M440i Gran Coupe,Premium
BMW,4 Series,M440i xDrive Convertible,Premium
BMW,4 Series,M440i xDrive Coupe,Premium
BMW,4 Series,M440i xDrive Gran Coupe,Premium
BMW,5 Series,5 Series,Diesel
BMW,5 Series,5 Series,Premium
BMW,5 Series,5 Series,Regular
BMW,5 Series,525i,Premium
BMW,5 Series,525i,Regular
BMW,5 Series,525i Sport Wagon,Premium
BMW,5 Series,525i Touring,Premium
BMW,5 Series,525xi,Premium
BMW,5 Series,528i,Premium
BMW,5 Series,528i,Regular
BMW,5 Series,528i Sport Wagon,Premium
BMW,5 Series,528i Touring,Regular
BMW,5 Series,528i xDrive,Premium
BMW,5 Series,528xi,Premium
BMW,5 Series,530e,Premium and Electricity
BMW,5 Series,530e Sedan,Premium and Electricity
BMW,5 Series,530e xDrive,Premium and Electricity
BMW,5 Series,530e xDrive Sedan,Premium and Electricity
BMW,5 Series,530i,Premium
BMW,5 Series,530i Sedan,Premium
BMW,5 Series,530i Touring,Premium
BMW,5 Series,530i xDrive,Premium
BMW,5 Series,530i xDrive Sedan,Premium
BMW,5 Series,530xi,Premium
BMW,5 Series,530xi Sport Wagon,Premium
BMW,5 Series,535d,Diesel
BMW,5 Series,535d xDrive,Diesel
BMW,5 Series,535i,Premium
BMW,5 Series,535i,Regular
BMW,5 Series,535i Gran Turismo,Premium
BMW,5 Series,535i Sport Wagon xDrive,Premium
BMW,5 Series,535i xDrive,Premium
BMW,5 Series,535i xDrive Gran Turismo,Premium
BMW,5 Series,535xi,Premium
BMW,5 Series,535xi Sport Wagon,Premium
BMW,5 Series,540d xDrive,Diesel
BMW,5 Series,540i,Premium
BMW,5 Series,540i,Regular
BMW,5 Series,540i Sedan,Premium
BMW,5 Series,540i Sport Wagon,Premium
BMW,5 Series,540i Touring,Regular
BMW,5 Series,540i xDrive,Premium
BMW,5 Series,540i xDrive Sedan,Premium
BMW,5 Series,545i,Premium
BMW,5 Series,550 GT,Premium
BMW,5 Series,550i,Premium
BMW,5 Series,550i Gran Turismo,Premium
BMW,5 Series,550i xDrive,Premium
BMW,5 Series,550i xDrive Gran Turismo,Premium
BMW,5 Series,550i xDrive GT,Premium
BMW,5 Series,ActiveHybrid 5,Premium
BMW,5 Series,M550i xDrive Sedan,Premium
BMW,6 Series,6 Series,Premium
BMW,6 Series,6 Series,Regular
BMW,6 Series,635csi,Regular
BMW,6 Series,640i Convertible,Premium
BMW,6 Series,640i Coupe,Premium
BMW,6 Series,640i Gran Coupe,Premium
BMW,6 Series,640i xDrive Convertible,Premium
BMW,6 Series,640i xDrive Coupe,Premium
BMW,6 Series,640i xDrive Gran Coupe,Premium
BMW,6 Series,640i xDrive Gran Turismo,Premium
BMW,6 Series,645ci,Premium
BMW,6 Series,645ci Convertible,Premium
BMW,6 Series,650ci,Premium
BMW,6 Series,650ci Convertible,Premium
BMW,6 Series,650i Convertible,Premium
BMW,6 Series,650i Convertible xDrive,Premium
BMW,6 Series,650i Coupe,Premium
BMW,6 Series,650i Coupe xDrive,Premium
BMW,6 Series,650i Gran Coupe,Premium
BMW,6 Series,650i xDrive Convertible,Premium
BMW,6 Series,650i xDrive Coupe,Premium
BMW,6 Series,650i xDrive Gran Coupe,Premium
BMW,6 Series,Alpina B6 Gran Coupe xDrive,Premium
BMW,6 Series,Alpina B6 xDrive Gran Coupe,Premium
BMW,7 Series,7 Series,Regular
BMW,7 Series,735i,Regular
BMW,7 Series,735i Luxury,Regular
BMW,7 Series,735il,Regular
BMW,7 Series,740e xDrive,Premium and Electricity
BMW,7 Series,740i,Premium
BMW,7 Series,740i,Regular
BMW,7 Series,740i Sedan,Premium
BMW,7 Series,740i xDrive,Premium
BMW,7 Series,740i xDrive Sedan,Premium
BMW,7 Series,740i/740i Sport,Premium
BMW,7 Series,740il,Premium
